Date,Open,High,Low,Close,Adj Close,Volume
2022-05-12,33.660000,34.099998,33.450001,33.919998,33.919998,63100
2022-05-13,34.540001,34.950001,34.320000,34.919998,34.919998,84100
2022-05-16,34.900002,35.830002,34.720001,35.650002,35.650002,54600
2022-05-17,35.790001,35.930000,34.650002,34.730000,34.730000,38900
2022-05-18,35.250000,35.470001,33.860001,33.939999,33.939999,51800
2022-05-19,33.680000,34.900002,33.680000,34.500000,34.500000,22800
2022-05-20,34.880001,35.130001,34.619999,35.020000,35.020000,51900
2022-05-23,35.009998,35.380001,34.740002,35.150002,35.150002,51500
2022-05-24,35.169998,35.599998,34.970001,35.150002,35.150002,72800
2022-05-25,35.290001,35.500000,34.990002,35.369999,35.369999,39100
2022-05-26,35.849998,36.650002,35.669998,36.320000,36.320000,182400
2022-05-27,36.709999,36.849998,36.209999,36.660000,36.660000,48300
2022-05-31,38.000000,38.080002,36.610001,36.750000,36.750000,65300
2022-06-01,37.320000,37.779999,36.759998,36.759998,36.759998,23600
2022-06-02,36.919998,37.750000,36.680000,37.549999,37.549999,115200
2022-06-03,37.520000,38.680000,37.509998,38.669998,38.669998,76300
2022-06-06,38.360001,38.570000,37.970001,38.000000,38.000000,88600
2022-06-07,38.180000,38.799999,37.980000,38.619999,38.619999,89500
2022-06-08,38.750000,39.740002,38.630001,39.610001,39.610001,88900
2022-06-09,39.599998,39.610001,39.020000,39.259998,39.259998,55000
2022-06-10,38.779999,39.130001,38.049999,38.700001,38.700001,56000
2022-06-13,39.139999,39.180000,37.529999,38.830002,38.830002,147000
2022-06-14,39.029999,39.689999,37.650002,38.099998,38.099998,102900
2022-06-15,37.840000,38.290001,37.340000,37.349998,37.349998,99900
2022-06-16,37.209999,38.279999,36.700001,37.660000,37.660000,52800
2022-06-17,37.880001,37.880001,35.360001,35.990002,35.990002,260500
2022-06-21,36.340000,36.799999,36.040001,36.680000,36.680000,238500
2022-06-22,34.110001,35.549999,33.840000,34.770000,34.770000,96600
2022-06-23,35.119999,35.200001,33.759998,33.980000,33.980000,45200
2022-06-24,34.320000,35.180000,34.040001,34.619999,34.619999,76200
2022-06-27,35.200001,35.500000,34.340000,35.320000,35.320000,32700
2022-06-28,36.250000,36.439999,35.639999,36.270000,36.270000,19300
